State,year,Kharif,Rabi,Zaid,Avg_Annual_Rainfall
ASSAM & MEGHALAYA,1905,1886,278.4,1148,1104.133333
ASSAM & MEGHALAYA,1906,1780.4,259.7,1011.7,1017.266667
ASSAM & MEGHALAYA,1907,1793.8,149.2,1087.9,1010.3
ASSAM & MEGHALAYA,1908,1610.8,137,920.8,889.5333333
ASSAM & MEGHALAYA,1909,1646,221.2,1149.2,1005.466667
ASSAM & MEGHALAYA,1910,1986.9,261.5,1221.4,1156.6
ASSAM & MEGHALAYA,1911,1957.5,380,1292.7,1210.066667
ASSAM & MEGHALAYA,1912,1739.9,326.3,1160.1,1075.433333
ASSAM & MEGHALAYA,1913,1529.7,385.9,1303.5,1073.033333
ASSAM & MEGHALAYA,1914,1565.4,171.1,1011.3,915.9333333
ASSAM & MEGHALAYA,1915,2035.1,190.8,1448.3,1224.733333
ASSAM & MEGHALAYA,1916,1582.1,332,1054.2,989.4333333
ASSAM & MEGHALAYA,1917,1717.4,388.8,998.3,1034.833333
ASSAM & MEGHALAYA,1918,2442.5,99.3,1224.5,1255.433333
ASSAM & MEGHALAYA,1919,1635.3,257.4,937.1,943.2666667
ASSAM & MEGHALAYA,1920,1737.6,190.4,1219.4,1049.133333
ASSAM & MEGHALAYA,1921,1909.8,216.3,1478.5,1201.533333
ASSAM & MEGHALAYA,1922,1612.3,170.1,1028.5,936.9666667
ASSAM & MEGHALAYA,1923,1592.1,175.4,1261.6,1009.7
ASSAM & MEGHALAYA,1924,1862.8,287.3,1015.2,1055.1
ASSAM & MEGHALAYA,1925,1465,151.3,1265,960.4333333
ASSAM & MEGHALAYA,1926,1679.7,280.4,1110.9,1023.666667
ASSAM & MEGHALAYA,1927,1937.9,285.5,1143.6,1122.333333
ASSAM & MEGHALAYA,1928,1640.5,347.3,1067,1018.266667
ASSAM & MEGHALAYA,1929,1654.4,323.4,1619.4,1199.066667
ASSAM & MEGHALAYA,1930,1712.4,329.4,1195.9,1079.233333
ASSAM & MEGHALAYA,1931,1872.4,211.4,1321.9,1135.233333
ASSAM & MEGHALAYA,1932,1906.3,271.4,1339.5,1172.4
ASSAM & MEGHALAYA,1933,1649.2,172.1,994.9,938.7333333
ASSAM & MEGHALAYA,1934,1916.3,385.7,1527.5,1276.5
ASSAM & MEGHALAYA,1935,2001,107.4,1267,1125.133333
ASSAM & MEGHALAYA,1936,1655.9,299,1172.4,1042.433333
ASSAM & MEGHALAYA,1937,1590.3,210.9,945.9,915.7
ASSAM & MEGHALAYA,1938,1958.2,241,1168.3,1122.5
ASSAM & MEGHALAYA,1939,1632.5,230,1072.9,978.4666667
ASSAM & MEGHALAYA,1940,1620.3,186,1145.8,984.0333333
ASSAM & MEGHALAYA,1941,1681,207.2,1362.9,1083.7
ASSAM & MEGHALAYA,1942,1743.4,100.2,1452.3,1098.633333
ASSAM & MEGHALAYA,1943,1688.1,190.7,1338.2,1072.333333
ASSAM & MEGHALAYA,1944,1637.2,167.2,1210.5,1004.966667
ASSAM & MEGHALAYA,1945,1785,277.2,1104,1055.4
ASSAM & MEGHALAYA,1946,1694.2,376.2,1191.8,1087.4
ASSAM & MEGHALAYA,1947,1704.6,231.2,1194,1043.266667
ASSAM & MEGHALAYA,1948,1896.8,287.4,1600.5,1261.566667
ASSAM & MEGHALAYA,1949,1982.1,218.3,1466.3,1222.233333
ASSAM & MEGHALAYA,1950,1643.1,260.9,1050.5,984.8333333
ASSAM & MEGHALAYA,1951,1736.3,330.7,1135.7,1067.566667
ASSAM & MEGHALAYA,1952,1785.2,337.2,1128.9,1083.766667
ASSAM & MEGHALAYA,1953,1603.4,194.2,1167.9,988.5
ASSAM & MEGHALAYA,1954,1812.6,249.6,1391.2,1151.133333
ASSAM & MEGHALAYA,1955,1812.6,266.1,1229,1102.566667
ASSAM & MEGHALAYA,1956,1706.7,236.3,1572.3,1171.766667
ASSAM & MEGHALAYA,1957,1428.6,223.2,1051.4,901.0666667
ASSAM & MEGHALAYA,1958,1579.8,298.7,1141.1,1006.533333
ASSAM & MEGHALAYA,1959,1424.6,386.5,1242.2,1017.766667
ASSAM & MEGHALAYA,1960,1837,105.2,854.7,932.3
ASSAM & MEGHALAYA,1961,1261.7,201,1068,843.5666667
ASSAM & MEGHALAYA,1962,1587.3,187.5,1122.5,965.7666667
ASSAM & MEGHALAYA,1963,1797.1,191.9,1118.8,1035.933333
ASSAM & MEGHALAYA,1964,1824.8,258.4,1204.3,1095.833333
ASSAM & MEGHALAYA,1965,1626.7,234.4,1038.7,966.6
ASSAM & MEGHALAYA,1966,2053.9,211.3,1304.6,1189.933333
ASSAM & MEGHALAYA,1967,1452.9,165.1,901.1,839.7
ASSAM & MEGHALAYA,1968,1666.8,182.7,1276.3,1041.933333
ASSAM & MEGHALAYA,1969,1660.3,139.4,1099.6,966.4333333
ASSAM & MEGHALAYA,1970,1913.5,347.1,1446.2,1235.6
ASSAM & MEGHALAYA,1971,1551.3,346.9,853.9,917.3666667
ASSAM & MEGHALAYA,1972,1515.3,164.9,1275.1,985.1
ASSAM & MEGHALAYA,1973,1742.6,324,1239.9,1102.166667
ASSAM & MEGHALAYA,1974,2356.3,343.4,1330.8,1343.5
ASSAM & MEGHALAYA,1975,1473.9,228.8,905.5,869.4
ASSAM & MEGHALAYA,1976,1407.8,136.7,921.2,821.9
ASSAM & MEGHALAYA,1977,1505.2,270.4,1246.1,1007.233333
ASSAM & MEGHALAYA,1978,1478.2,134.8,905.6,839.5333333
ASSAM & MEGHALAYA,1979,1542.6,288.3,665.5,832.1333333
ASSAM & MEGHALAYA,1980,1537.1,192.5,949.1,892.9
ASSAM & MEGHALAYA,1981,1431.8,153,767.7,784.1666667
ASSAM & MEGHALAYA,1982,1720.6,141.2,1037.6,966.4666667
ASSAM & MEGHALAYA,1983,1844.2,241.8,896.1,994.0333333
ASSAM & MEGHALAYA,1984,2292.5,217.2,1125.9,1211.866667
ASSAM & MEGHALAYA,1985,1895.1,150.9,1251.7,1099.233333
ASSAM & MEGHALAYA,1986,1726.6,395.6,874.8,999
ASSAM & MEGHALAYA,1987,2170.6,243.8,1032.7,1149.033333
ASSAM & MEGHALAYA,1988,2151,301.9,1212.7,1221.866667
ASSAM & MEGHALAYA,1989,1929.5,278.8,962.6,1056.966667
ASSAM & MEGHALAYA,1990,1750.2,286.6,1248.2,1095
ASSAM & MEGHALAYA,1991,1783.8,320.6,1251.4,1118.6
ASSAM & MEGHALAYA,1992,1578.5,212.5,919.7,903.5666667
ASSAM & MEGHALAYA,1993,1969.9,310.7,1218.1,1166.233333
ASSAM & MEGHALAYA,1994,1273.4,247.4,1078.1,866.3
ASSAM & MEGHALAYA,1995,2169,230.3,1150.1,1183.133333
ASSAM & MEGHALAYA,1996,1543.5,307,1014.1,954.8666667
ASSAM & MEGHALAYA,1997,1763.4,143.2,1035.5,980.7
ASSAM & MEGHALAYA,1998,1947.4,282.6,1154.3,1128.1
ASSAM & MEGHALAYA,1999,1710.2,227.9,1085.1,1007.733333
ASSAM & MEGHALAYA,2000,1666.6,140.8,1219.7,1009.033333
